,name,ticker,year,penalty
256,Aaron's,AAN),2019,"425,000"
257,Aaron's,AAN),2020,"40,000"
258,Aaron's,AAN),2009,"27,339"
259,Aaron's,AAN),2004,"20,000"
260,Aaron's,AAN),2012,"16,681"
261,Aaron's,AAN),2012,"6,750"
262,Aaron's,AAN),2016,"5,850"
263,ABB Ltd.,ABB),2019,"55,000,000"
264,ABB Ltd.,ABB),2001,"53,000,000"
265,ABB Ltd.,ABB),2010,"39,300,000"
266,ABB Ltd.,ABB),2010,"19,000,000"
267,ABB Ltd.,ABB),2004,"5,900,000"
268,ABB Ltd.,ABB),2012,"2,000,000"
269,ABB Ltd.,ABB),2003,"698,610"
270,ABB Ltd.,ABB),2016,"625,000"
271,ABB Ltd.,ABB),2011,"347,000"
272,ABB Ltd.,ABB),2012,"209,007"
273,ABB Ltd.,ABB),2018,"187,000"
274,ABB Ltd.,ABB),2011,"74,140"
275,ABB Ltd.,ABB),2017,"37,040"
276,ABB Ltd.,ABB),2019,"34,099"
277,ABB Ltd.,ABB),2010,"30,000"
278,ABB Ltd.,ABB),2001,"25,000"
279,ABB Ltd.,ABB),2010,"21,800"
280,ABB Ltd.,ABB),2019,"21,356"
281,ABB Ltd.,ABB),2006,"20,000"
282,ABB Ltd.,ABB),2015,"20,000"
283,ABB Ltd.,ABB),2010,"18,000"
284,ABB Ltd.,ABB),2008,"17,710"
285,ABB Ltd.,ABB),2003,"17,140"
286,ABB Ltd.,ABB),2005,"17,075"
287,ABB Ltd.,ABB),2020,"15,000"
288,ABB Ltd.,ABB),2016,"15,000"
289,ABB Ltd.,ABB),2006,"14,809"
290,ABB Ltd.,ABB),2009,"13,000"
291,ABB Ltd.,ABB),2012,"12,780"
292,ABB Ltd.,ABB),2019,"12,725"
293,ABB Ltd.,ABB),2019,"12,725"
294,ABB Ltd.,ABB),2018,"12,472"
295,ABB Ltd.,ABB),2016,"10,349"
296,ABB Ltd.,ABB),2010,"10,000"
297,ABB Ltd.,ABB),2011,"10,000"
298,ABB Ltd.,ABB),2000,"9,000"
299,ABB Ltd.,ABB),2001,"9,000"
300,ABB Ltd.,ABB),2000,"8,375"
301,ABB Ltd.,ABB),2005,"7,800"
302,ABB Ltd.,ABB),2013,"7,730"
303,ABB Ltd.,ABB),2005,"7,650"
304,ABB Ltd.,ABB),2015,"7,500"
305,ABB Ltd.,ABB),2006,"6,750"
306,ABB Ltd.,ABB),2005,"6,680"
307,ABB Ltd.,ABB),2004,"6,626"
308,ABB Ltd.,ABB),2000,"6,375"
309,ABB Ltd.,ABB),2002,"6,000"
310,ABB Ltd.,ABB),2008,"5,625"
311,ABB Ltd.,ABB),2015,"5,600"
